id	verdict	fix_gloss	note
n005	fix	بَطَاطَا	بُطَيْطَة is diminutive of بَطَّة (duck); use plain potato
n007	fix	فُوَيْلَةٌ	real diminutive of فُولَة bean
n011	fix	حَصَاةٌ	pebble; صخيرة means little rock
n013	fix	سَمِينٌ	plump; سُمَيِّن is not attested
n016	fix	أُرْزٌ لَزِجٌ	invented form; plain sticky rice
n022	fix	أَخْضَرُ	green; avoids resemblance to the name Khidr
n024	fix	عُشَيْبَةٌ	diminutive of عُشْبَة, small grass plant
n028	fix	فُولٌ سُودَانِيٌّ	the real word for peanut
n030	fix	كَسْتَنَاءُ	the real word for chestnut
n031	fix	بَطَاطَا حُلْوَةٌ	standard term for sweet potato
n032	fix	يَامٌ	the attested word for yam
n033	fix	قُلْقَاسٌ	the real word for taro
n047	fix	سَاذِجٌ	gentle real adjective; سُوَيْذِج not attested
n053	ok		
n054	ok		
n055	ok		
n057	fix	صَلْبٌ	sturdy; مُتَيِّن invented, مَتِين is a given name
n058	fix	ظِلٌّ	English is Shadow; avoids diminutive of black
n060	fix	فُقَّاعَةٌ	bubble; the diminutive goes to n061
n061	fix	فُقَيْقِيعَةٌ	regular diminutive of فُقَّاعَة, little bubble
n062	fix	مُدَوَّرٌ	round; دُوَيِّرَة is a diminutive of circle
n063	fix	دُحْرُوجَةٌ	real word for something that rolls
n065	fix	خَرَزَةٌ	bead; دُرَيْرَة means little pearl
n067	fix	صَدَفَةٌ	plain shell; قُوَيْقِعَة not attested
n069	fix	مُوَيْجَةٌ	real diminutive of مَوْجَة wave
n071	ok		
n076	fix	قُمَيْرٌ	classical diminutive of قمر; هُلَيِّل is little crescent
n078	fix	نُجَيْمَةٌ	natural diminutive of نَجْمَة star; كُوَيْكِب is a little planet
n081	fix	جَلِيدِيٌّ	icy; جُلَيِّد not attested
n082	fix	ثُلَيْجٌ	diminutive of ثَلْج ice
n084	fix	زَغَبِيٌّ	downy or fluffy; وُبَيْرَة obscure
n085	fix	فِضِّيٌّ	silvery
n086	fix	فُضَيْضَةٌ	regular diminutive of فِضَّة silver; سبيكة means ingot
n087	fix	مَدِّيٌّ	tidal; مُدَيْد is unclear
n088	drop		no real Arabic pet word for cream puff; نُفَيْخَة is only a little puff
n090	fix	هُلَامٌ	the real word for jelly
n092	fix	سُكَّرَةٌ	sugar, a common Arabic endearment; عُذَيِّب invented
n093	fix	كَرَامِيلُ	real word caramel or toffee; كُرَيْمِيل invented
n094	fix	قُطْنٌ	plain word for cotton; نُدَيْفَة not attested
n095	ok		
n096	fix	كُرَيَّةٌ	little ball; طُوَيْبَة not standard
n098	fix	مُتَدَحْرِجٌ	rolling; لُفَيْفَة means little roll
n099	fix	عَابِسٌ	pouting or sulky; شُفَيْهَة invented
n100	fix	مَرِحٌ	cheerful; فُرَيِّح invented
n101	fix	مُبْتَسِمٌ	smiling; ضُحَيِّك invented
n103	fix	هَادِئٌ	calm or peaceful; وَدِيع is a given name
n105	ok		
n107	fix	قَوْقَعَةٌ	shell or conch; حُلَيْزِين invented
n108	fix	رَذَاذٌ	the real word for spray
n109	fix	قِنْدِيلُ الْبَحْرِ	standard word for jellyfish
n111	fix	حُوتٌ	whale; عُنَيْبِر is ambergris
n113	fix	تُوفُو	tofu; جُبَيْنَة means little cheese
n114	fix	كَعْكَةُ الْأُرْزِ	rice cake; رُزَيْزَة invented
n115	fix	كُرَةُ الْأُرْزِ	rice ball; فُوَيْنِيس invented
