id	verdict	fix_script	fix_reading	fix_english	note
h3w241	ok				
h3w242	ok				
h3w243	ok				
h3w244	ok				
h3w245	ok				
h3w246	ok				
h3w247	ok				
h3w248	ok				
h3w249	fix		yí huìr		erhua: yíhuìr
h3w250	ok				
h3w251	ok				
h3w252	ok				
h3w253	ok				
h3w254	ok				
h3w255	ok				
h3w256	ok				
h3w257	ok				
h3w258	ok				
h3w259	ok				
h3w260	ok				
h3w261	ok				
h3w262	ok				
h3w263	ok				
h3w264	ok				
h3w265	fix		yuè liang		neutral tone
h3w266	ok				
h3w267	ok				
h3w268	ok				
h3w269	ok				
h3w270	ok				
h3w271	ok				
h3w272	ok				
h3w273	ok				
h3w274	ok				
h3w275	ok				
h3w276	ok				
h3w277	ok				
h3w278	ok				
h3w279	ok				
h3w280	ok				
h3w281	ok				
h3w282	ok				
h3w283	ok				
h3w284	ok				
h3w285	ok				
h3w286	ok				
h3w287	ok				
h3w288	ok				
h3w289	ok				
h3w290	ok				
h3w291	ok				


## Missing
长 (zhǎng) - to grow; chief
过 (guò) - to pass; (experience marker)
分钟 - minute
礼物 - gift
历史 - history
面条 - noodles
难 - difficult
奇怪 - strange
起来 - to get up; (rising direction)
嘴 - mouth
欢迎 - to welcome
附近 - nearby
骑 - to ride
果汁 - fruit juice
一边 - at the same time
虽然 - although
(Uncertain: list from memory; check against official list.)
