id	verdict	fix_gloss	note
h3p181	ok		
h3p182	ok		
h3p183	ok		
h3p184	ok		
h3p185	ok		
h3p186	ok		
h3p187	ok		
h3p188	ok		
h3p189	ok		
h3p191	ok		
h3p192	ok		
h3p193	ok		
h3p194	ok		
h3p195	ok		
h3p196	ok		
h3p197	ok		
h3p198	ok		
h3p199	ok		
h3p201	ok		
h3p202	ok		
h3p203	ok		
h3p204	ok		
h3p205	ok		
h3p206	ok		
h3p207	ok		
h3p208	fix	Te dibujé, ¿se parece a ti?	"a que" is assertive, not a question of likeness
h3p209	ok		
h3p210	ok		
h3p211	ok		
h3p212	ok		
h3p213	ok		
h3p214	ok		
h3p215	ok		
h3p216	ok		
h3p218	ok		
h3p219	ok		
h3p220	ok		
h3p221	ok		
h3p222	ok		
h3p223	ok		
h3p226	ok		
h3p227	ok		
h3p228	ok		
h3p229	ok		
h3p230	ok		
h3p231	ok		
h3p232	ok		
h3p233	ok		
h3p234	ok		
h3p235	ok		
h3p236	ok		
h3p237	ok		
h3p238	fix	Pasó un auto rojo.	coche is Spain/Mexico-mixed; auto neutral
h3p239	ok		
h3p240	ok		
h3p241	ok		
h3p242	ok		
h3p243	ok		
h3p244	ok		
h3p245	ok		
