id	verdict	fix_script	fix_reading	fix_english	note
p001	ok				
p002	ok				
p003	ok				
p004	ok				
p005	ok				
p006	ok				
p007	ok				
p008	ok				
p009	ok				
p010	ok				
p011	ok				
p012	ok				
p013	ok				
p014	ok				
p015	ok				
p016	ok				
p017	ok				
p018	ok				
p019	ok				
p020	ok				
p021	ok				
p022	ok				
p023	ok				
p024	ok				
p025	ok				
p026	ok				
p027	ok				
p028	ok				
p029	ok				
p030	ok				
p031	ok				
p032	ok				
p033	ok				
p034	ok				
p035	ok				
p036	ok				
p037	ok				
p038	ok				
p039	ok				
p040	ok				
p041	ok				
p042	ok				
p043	fix			We're going to a restaurant to eat.	Chinese is a plain statement (no 吧); English 'Let's' is a suggestion and stronger than the Chinese.
p044	ok				
p045	ok				
p046	ok				
p047	ok				
p048	fix	我今天做了很多工作。	Wǒ jīn tiān zuò le hěn duō gōng zuò.		工作了很多 is awkward (工作 does not naturally take 很多 as a quantity complement); 做了很多工作 is the natural phrasing.
p049	ok				
p050	ok				
p051	ok				
p052	fix			I'm going to bed.	我睡觉了 announces going to sleep now (change of state), it does not mean 'I was asleep'.
p053	ok				
p054	ok				
p055	ok				
p056	ok				
p057	ok				
p058	ok				
p059	ok				
p060	ok				
p061	ok				
