id	verdict	fix_script	fix_reading	fix_english	note
p123	ok				
p124	ok				
p125	ok				
p126	ok				
p127	ok				
p128	ok				
p129	ok				
p130	ok				
p131	ok				
p132	ok				
p133	ok				
p134	ok				
p135	ok				
p136	ok				
p137	ok				
p138	ok				
p139	ok				
p140	ok				
p141	ok				
p142	ok				
p143	ok				
p144	ok				
p145	ok				
p146	ok				
p147	ok				
p148	ok				
p149	ok				
p150	ok				
p151	ok				
p152	ok				
p153	ok				
p154	ok				
p155	ok				
p156	ok				
p157	ok				
p158	ok				
p159	ok				
p160	ok				
p161	fix		Māo zài zhuō zi xià mian.		下面 is xià·mian with neutral 面 in the standard dictionary reading.
p162	ok				
p163	ok				
p164	ok				
p165	ok				
p166	ok				
p167	ok				
p168	fix			We're going to see a film.	Without 吧 this is a statement, not a suggestion; English 'Let's' is stronger than the Chinese.
p169	ok				
p170	ok				
p171	ok				
p172	ok				
p173	ok				
p174	ok				
p175	ok				
p176	ok				
p177	ok				
p178	ok				
p179	ok				
p180	ok				
p181	ok				
p182	ok				
p183	ok				
