id	script	reading	english	tags	status	checks	note
x001	你好！｜你好！	Nǐ hǎo! | Nǐ hǎo!	Hello! | Hello!	greet,exchange	verified	claude-blind,claude-review	
x002	你好吗？｜我很好，谢谢。你呢？｜我很好。	Nǐ hǎo ma? | Wǒ hěn hǎo, xiè xie. Nǐ ne? | Wǒ hěn hǎo.	How are you? | I'm fine, thanks. And you? | I'm fine.	greet,exchange	verified	claude-blind,claude-review	
x003	你们好！｜你好！	Nǐ men hǎo! | Nǐ hǎo!	Hello, everyone! | Hello!	greet,exchange	verified	claude-blind,claude-review	
x004	你在哪儿？｜我在这儿！	Nǐ zài nǎr? | Wǒ zài zhèr!	Where are you? | I'm here!	greet,exchange	verified	claude-blind,claude-review	
x005	谁在那儿？｜是我！	Shéi zài nàr? | Shì wǒ!	Who's there? | It's me!	greet,exchange	verified	claude-blind,claude-review	
x006	你在做什么？｜我在吃东西。	Nǐ zài zuò shén me? | Wǒ zài chī dōng xi.	What are you doing? | I'm eating.	greet,exchange	verified	claude-blind,claude-review	
x007	你在看什么？｜我在看你。	Nǐ zài kàn shén me? | Wǒ zài kàn nǐ.	What are you looking at? | I'm looking at you.	greet,exchange	verified	claude-blind,claude-review	
x008	你认识他吗？｜我不认识他。	Nǐ rèn shi tā ma? | Wǒ bú rèn shi tā.	Do you know him? | I don't know him.	greet,exchange	verified	claude-blind,claude-review	
x009	他是谁？｜他是我的朋友。	Tā shì shéi? | Tā shì wǒ de péng you.	Who is he? | He is my friend.	greet,exchange	verified	claude-blind,claude-review	
x010	我们是朋友吗？｜是的！我们是朋友。	Wǒ men shì péng you ma? | Shì de! Wǒ men shì péng you.	Are we friends? | Yes! We are friends.	greet,exchange	verified	claude-blind,claude-review	
x011	你有朋友吗？｜有，你是我的朋友。	Nǐ yǒu péng you ma? | Yǒu, nǐ shì wǒ de péng you.	Do you have friends? | Yes, you're my friend.	greet,exchange	verified	claude-blind,claude-review	
