id	script	reading	english	gloss	status	checks	note
h2w001	吧	ba	(suggestion particle) let's…; …right?	(partícula de sugerencia o de confirmación)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent description
h2w002	白	bái	white	blanco	verified	claude-blind,claude-review	
h2w003	百	bǎi	hundred	cien	verified	claude-blind,claude-review	
h2w004	帮助	bāng zhù	to help	ayudar	verified	claude-blind,claude-review	
h2w005	报纸	bào zhǐ	newspaper	periódico	verified	claude-blind,claude-review	
h2w006	比	bǐ	than; compared with	que; comparado con	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
h2w007	别	bié	don't	no (para prohibir algo)	verified	claude-blind,claude-review	
h2w008	宾馆	bīn guǎn	hotel	hotel	verified	claude-blind,claude-review	
h2w009	长	cháng	long	largo	verified	claude-blind,claude-review	
h2w010	唱歌	chàng gē	to sing	cantar	verified	claude-blind,claude-review	
h2w011	出	chū	to go out; to come out	salir	verified	claude-blind,claude-review	
h2w012	穿	chuān	to wear; to put on	vestir; ponerse	verified	claude-blind,claude-review	
h2w013	次	cì	(measure word for times)	(clasificador para veces)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
h2w014	从	cóng	from	desde	verified	claude-blind,claude-review	
h2w015	错	cuò	wrong	incorrecto	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
h2w016	打篮球	dǎ lán qiú	to play basketball	jugar baloncesto	verified	claude-blind,claude-review	
h2w017	大家	dà jiā	everyone	todos	verified	claude-blind,claude-review	
h2w018	到	dào	to arrive; to	llegar; a	verified	claude-blind,claude-review	
h2w019	得	de	(structural particle after a verb)	(partícula estructural después de un verbo)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
h2w020	等	děng	to wait	esperar	verified	claude-blind,claude-review	
h2w021	弟弟	dì di	younger brother	hermano menor	verified	claude-blind,claude-review	
h2w022	第一	dì yī	first	primero	verified	claude-blind,claude-review	
h2w023	懂	dǒng	to understand	entender	verified	claude-blind,claude-review	
h2w024	对	duì	correct; towards	correcto; hacia	verified	claude-blind,claude-review	
h2w025	房间	fáng jiān	room	habitación	verified	claude-blind,claude-review	
h2w026	非常	fēi cháng	very; extremely	muy; sumamente	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
h2w027	服务员	fú wù yuán	waiter; attendant	mesero; empleado de servicio	verified	claude-blind,claude-review	
h2w028	高	gāo	tall; high	alto	verified	claude-blind,claude-review	
h2w029	告诉	gào su	to tell	decir; contar	verified	claude-blind,claude-review	
h2w030	哥哥	gē ge	older brother	hermano mayor	verified	claude-blind,claude-review	
h2w031	给	gěi	to give; for	dar; para	verified	claude-blind,claude-review	
h2w032	公共汽车	gōng gòng qì chē	bus	autobús	verified	claude-blind,claude-review	
h2w033	公司	gōng sī	company	empresa	verified	claude-blind,claude-review	
h2w034	贵	guì	expensive	caro	verified	claude-blind,claude-review	
h2w035	过	guo	(particle for past experience)	(partícula de experiencia pasada)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
h2w036	还	hái	still; also	todavía; también	verified	claude-blind,claude-review	
h2w037	孩子	hái zi	child	niño	verified	claude-blind,claude-review	
h2w038	好吃	hǎo chī	tasty	sabroso	verified	claude-blind,claude-review	
h2w039	黑	hēi	black	negro	verified	claude-blind,claude-review	
h2w040	红	hóng	red	rojo	verified	claude-blind,claude-review	
h2w041	欢迎	huān yíng	welcome	bienvenido	verified	claude-blind,claude-review	
h2w042	回答	huí dá	to answer	responder	verified	claude-blind,claude-review	
h2w043	机场	jī chǎng	airport	aeropuerto	verified	claude-blind,claude-review	
h2w044	鸡蛋	jī dàn	egg	huevo	verified	claude-blind,claude-review	
h2w045	件	jiàn	(measure word for clothes and matters)	(clasificador para ropa y asuntos)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
