id	script	reading	english	gloss	gloss_reading	status	checks	note
h2p001	我想吃面条。	Wǒ xiǎng chī miàn tiáo.	I want to eat noodles.	أُرِيدُ أَنْ آكُلَ الْمَعْكَرُونَةَ.	Urīdu an ākula al-maʿkarūna.	verified	claude-blind,claude-review	
h2p002	我想吃鸡蛋。	Wǒ xiǎng chī jī dàn.	I want to eat eggs.	أُرِيدُ أَنْ آكُلَ الْبَيْضَ.	Urīdu an ākula al-bayḍ.	verified	claude-blind,claude-review	
h2p003	我想喝牛奶。	Wǒ xiǎng hē niú nǎi.	I want to drink milk.	أُرِيدُ أَنْ أَشْرَبَ الْحَلِيبَ.	Urīdu an ashraba al-ḥalīb.	verified	claude-blind,claude-review	
h2p004	你有西瓜吗？	Nǐ yǒu xī guā ma?	Do you have any watermelon?	هَلْ عِنْدَكَ بِطِّيخٌ؟	Hal ʿindaka biṭṭīkh?	verified	claude-blind,claude-review	
h2p005	我想吃羊肉。	Wǒ xiǎng chī yáng ròu.	I want to eat lamb.	أُرِيدُ أَنْ آكُلَ لَحْمَ الْغَنَمِ.	Urīdu an ākula laḥma al-ghanam.	verified	claude-blind,claude-review	
h2p006	我要吃饭！	Wǒ yào chī fàn!	I want to eat!	أُرِيدُ أَنْ آكُلَ!	Urīdu an ākul!	verified	claude-blind,claude-review	
h2p007	我们什么时候吃饭？还要等吗？	Wǒ men shén me shí hou chī fàn? Hái yào děng ma?	When do we eat? Do we still have to wait?	مَتَى نَأْكُلُ؟ هَلْ مَا زَالَ عَلَيْنَا أَنْ نَنْتَظِرَ؟	Matā naʾkul? Hal mā zāla ʿalaynā an nantaẓir?	verified	claude-blind,claude-review	
h2p008	有没有好吃的？	Yǒu méi yǒu hǎo chī de?	Is there anything tasty?	هَلْ يُوجَدُ شَيْءٌ لَذِيذٌ؟	Hal yūjadu shayʾun ladhīdh?	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English (wording only)
h2p009	给我一点儿吃的吧。	Gěi wǒ yì diǎnr chī de ba.	Give me a little something to eat.	أَعْطِنِي قَلِيلًا مِنَ الطَّعَامِ.	Aʿṭinī qalīlan mina aṭ-ṭaʿām.	verified	claude-blind,claude-review	
h2p010	这儿有鱼吗？	Zhèr yǒu yú ma?	Is there any fish here?	هَلْ هُنَا سَمَكٌ؟	Hal hunā samak?	verified	claude-blind,claude-review	
h2p011	我已经一天没吃东西了。	Wǒ yǐ jīng yì tiān méi chī dōng xi le.	I haven't eaten anything all day.	لَمْ آكُلْ شَيْئًا مُنْذُ يَوْمٍ كَامِلٍ.	Lam ākul shayʾan mundhu yawmin kāmil.	verified	claude-blind,claude-review	
h2p012	快给我吃的！	Kuài gěi wǒ chī de!	Quick, give me something to eat!	أَعْطِنِي الطَّعَامَ بِسُرْعَةٍ!	Aʿṭinī aṭ-ṭaʿāma bisurʿa!	verified	claude-blind,claude-review	
h2p013	我可以吃这个吗？	Wǒ kě yǐ chī zhè ge ma?	Can I eat this?	هَلْ يُمْكِنُنِي أَنْ آكُلَ هٰذَا؟	Hal yumkinunī an ākula hādhā?	verified	claude-blind,claude-review	
h2p014	还有牛奶吗？	Hái yǒu niú nǎi ma?	Is there any milk left?	هَلْ بَقِيَ حَلِيبٌ؟	Hal baqiya ḥalīb?	verified	claude-blind,claude-review	
h2p015	饭准备好了吗？	Fàn zhǔn bèi hǎo le ma?	Is the food ready?	هَلِ الطَّعَامُ جَاهِزٌ؟	Hali aṭ-ṭaʿāmu jāhiz?	verified	claude-blind,claude-review	
h2p016	我想吃苹果和西瓜。	Wǒ xiǎng chī píng guǒ hé xī guā.	I want to eat apples and watermelon.	أُرِيدُ أَنْ آكُلَ التُّفَّاحَ وَالْبِطِّيخَ.	Urīdu an ākula at-tuffāḥa wa-l-biṭṭīkh.	verified	claude-blind,claude-review	
h2p017	我最喜欢吃鱼。	Wǒ zuì xǐ huan chī yú.	I like eating fish the most.	أُحِبُّ أَكْلَ السَّمَكِ أَكْثَرَ مِنْ أَيِّ شَيْءٍ آخَرَ.	Uḥibbu akla as-samaki akthara min ayyi shayʾin ākhar.	verified	claude-blind,claude-review	
h2p018	我要喝咖啡。	Wǒ yào hē kā fēi.	I want coffee.	أُرِيدُ أَنْ أَشْرَبَ الْقَهْوَةَ.	Urīdu an ashraba al-qahwa.	verified	claude-blind,claude-review	
h2p019	我等了很长时间了。	Wǒ děng le hěn cháng shí jiān le.	I've been waiting a long time.	اِنْتَظَرْتُ وَقْتًا طَوِيلًا.	Intaẓartu waqtan ṭawīlan.	verified	claude-blind,claude-review	
h2p020	中午我们吃面条吧。	Zhōng wǔ wǒ men chī miàn tiáo ba.	Let's have noodles for lunch.	لِنَأْكُلِ الْمَعْكَرُونَةَ ظُهْرًا.	Linaʾkuli al-maʿkarūnata ẓuhran.	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English (wording only)
h2p021	您好！	Nín hǎo!	Hello! (polite)	مَرْحَبًا!	Marḥaban!	verified	claude-blind,claude-review	
h2p022	欢迎！	Huān yíng!	Welcome!	أَهْلًا وَسَهْلًا!	Ahlan wasahlan!	verified	claude-blind,claude-review	
h2p023	欢迎你来！	Huān yíng nǐ lái!	Glad you came!	أَهْلًا بِمَجِيئِكَ!	Ahlan bimajīʾik!	verified	claude-blind,claude-review	
h2p024	欢迎回来！	Huān yíng huí lái!	Welcome back!	أَهْلًا بِعَوْدَتِكَ!	Ahlan biʿawdatik!	verified	claude-blind,claude-review	
h2p025	早上好！	Zǎo shang hǎo!	Good morning!	صَبَاحَ الْخَيْرِ!	Ṣabāḥa al-khayr!	verified	claude-blind,claude-review	
h2p026	晚上好！	Wǎn shang hǎo!	Good evening!	مَسَاءَ الْخَيْرِ!	Masāʾa al-khayr!	verified	claude-blind,claude-review	
h2p027	你身体好吗？	Nǐ shēn tǐ hǎo ma?	How is your health?	كَيْفَ صِحَّتُكَ؟	Kayfa ṣiḥḥatuk?	verified	claude-blind,claude-review	
h2p028	你最近怎么样？	Nǐ zuì jìn zěn me yàng?	How have you been lately?	كَيْفَ حَالُكَ مُؤَخَّرًا؟	Kayfa ḥāluka muʾakhkharan?	verified	claude-blind,claude-review	
h2p029	大家好！	Dà jiā hǎo!	Hello, everyone!	مَرْحَبًا بِالْجَمِيعِ!	Marḥaban bi-l-jamīʿ!	verified	claude-blind,claude-review	
h2p030	你也在这儿！	Nǐ yě zài zhèr!	You're here too!	أَنْتَ هُنَا أَيْضًا!	Anta hunā ayḍan!	verified	claude-blind,claude-review	
h2p031	你今天忙吗？	Nǐ jīn tiān máng ma?	Are you busy today?	هَلْ أَنْتَ مَشْغُولٌ الْيَوْمَ؟	Hal anta mashghūlun al-yawm?	verified	claude-blind,claude-review	
h2p032	您贵姓？	Nín guì xìng?	What is your surname? (polite)	مَا اسْمُ عَائِلَتِكَ الْكَرِيمُ؟	Mā ismu ʿāʾilatika al-karīm?	verified	claude-blind,claude-review	
h2p033	你睡得好吗？	Nǐ shuì de hǎo ma?	Did you sleep well?	هَلْ نِمْتَ جَيِّدًا؟	Hal nimta jayyidan?	verified	claude-blind,claude-review	
h2p034	你还在吗？	Nǐ hái zài ma?	Are you still there?	هَلْ مَا زِلْتَ هُنَاكَ؟	Hal mā zilta hunāk?	verified	claude-blind,claude-review	
h2p035	我到了！	Wǒ dào le!	I've arrived!	لَقَدْ وَصَلْتُ!	Laqad waṣalt!	verified	claude-blind,claude-review	
h2p036	这个真好吃！	Zhè ge zhēn hǎo chī!	This is really tasty!	هٰذَا لَذِيذٌ حَقًّا!	Hādhā ladhīdhun ḥaqqan!	verified	claude-blind,claude-review	
h2p037	这个没有鱼好吃。	Zhè ge méi yǒu yú hǎo chī.	This isn't as tasty as fish.	هٰذَا لَيْسَ لَذِيذًا كَالسَّمَكِ.	Hādhā laysa ladhīdhan ka-s-samak.	verified	claude-blind,claude-review	
h2p038	我吃完了！	Wǒ chī wán le!	I've finished eating!	لَقَدِ انْتَهَيْتُ مِنَ الْأَكْلِ!	Laqadi intahaytu mina al-ʾakl!	verified	claude-blind,claude-review	
h2p039	我还要吃。	Wǒ hái yào chī.	I want to eat more.	أُرِيدُ أَنْ آكُلَ أَكْثَرَ.	Urīdu an ākula akthar.	verified	claude-blind,claude-review	
h2p040	真好吃！	Zhēn hǎo chī!	So tasty!	لَذِيذٌ جِدًّا!	Ladhīdhun jiddan!	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English (wording only)
h2p041	我正在吃东西呢。	Wǒ zhèng zài chī dōng xi ne.	I'm eating right now.	أَنَا آكُلُ الْآنَ.	Anā ākulu al-ʾān.	verified	claude-blind,claude-review	
h2p042	别看我，我在吃。	Bié kàn wǒ, wǒ zài chī.	Don't look at me, I'm eating.	لَا تَنْظُرْ إِلَيَّ، أَنَا آكُلُ.	Lā tanẓur ilayy, anā ākul.	verified	claude-blind,claude-review	
h2p043	这个比苹果好吃。	Zhè ge bǐ píng guǒ hǎo chī.	This is tastier than apples.	هٰذَا أَلَذُّ مِنَ التُّفَّاحِ.	Hādhā aladhdhu mina at-tuffāḥ.	verified	claude-blind,claude-review	
h2p044	我吃了两个。	Wǒ chī le liǎng gè.	I ate two.	أَكَلْتُ اثْنَيْنِ.	Akaltu ithnayn.	verified	claude-blind,claude-review	
h2p045	别吃那个！	Bié chī nà ge!	Don't eat that!	لَا تَأْكُلْ ذٰلِكَ!	Lā taʾkul dhālik!	verified	claude-blind,claude-review	
