id	script	reading	english	gloss	status	checks	note
h3p001	阿姨，你今天来得真早！	Ā yí, nǐ jīn tiān lái de zhēn zǎo!	Auntie, you're here so early today!	¡Tía, hoy llegaste muy temprano!	verified	claude-blind,claude-review	
h3p002	啊，你回来了！	A, nǐ huí lái le!	Ah, you're back!	¡Ah, ya volviste!	verified	claude-blind,claude-review	
h3p003	我个子太矮，拿不到桌上的包。	Wǒ gè zi tài ǎi, ná bú dào zhuō shàng de bāo.	I'm too short to get the bag on the table.	Soy demasiado bajito y no alcanzo la bolsa que está sobre la mesa.	verified	claude-blind,claude-review	
h3p004	你的爱好是什么？	Nǐ de ài hào shì shén me?	What's your hobby?	¿Cuál es tu pasatiempo?	verified	claude-blind,claude-review	
h3p005	我的爱好是睡觉。	Wǒ de ài hào shì shuì jiào.	My hobby is sleeping.	Mi pasatiempo es dormir.	verified	claude-blind,claude-review	
h3p006	这里好安静，我想睡觉了。	Zhè lǐ hǎo ān jìng, wǒ xiǎng shuì jiào le.	It's so quiet here. I feel like sleeping.	Qué tranquilo está esto. Me dan ganas de dormir.	verified	claude-blind,claude-review	
h3p007	请你把我放在灯下面。	Qǐng nǐ bǎ wǒ fàng zài dēng xià mian.	Please put me under the light.	Por favor, ponme debajo de la lámpara.	verified	claude-blind,claude-review	
h3p008	你今天几点上班？	Nǐ jīn tiān jǐ diǎn shàng bān?	What time do you start work today?	¿A qué hora empiezas a trabajar hoy?	verified	claude-blind,claude-review	
h3p009	我们班的同学都很好。	Wǒ men bān de tóng xué dōu hěn hǎo.	Everyone in our class is nice.	Todos los compañeros de nuestra clase son muy buenos.	verified	claude-blind,claude-review	
h3p010	别搬我，我很重！	Bié bān wǒ, wǒ hěn zhòng!	Don't move me, I'm heavy!	¡No me muevas, soy muy pesado!	verified	claude-blind,claude-review	
h3p011	我只吃了半个蛋糕。	Wǒ zhǐ chī le bàn gè dàn gāo.	I only ate half a cake.	Solo comí medio pastel.	verified	claude-blind,claude-review	
h3p012	我没有办法，只好等你。	Wǒ méi yǒu bàn fǎ, zhǐ hǎo děng nǐ.	I have no choice but to wait for you.	No tengo otra opción, tendré que esperarte.	verified	claude-blind,claude-review	
h3p013	你的办公室大不大？	Nǐ de bàn gōng shì dà bu dà?	Is your office big?	¿Es grande tu oficina?	verified	claude-blind,claude-review	
h3p014	你能帮忙拿一下这个吗？	Nǐ néng bāng máng ná yí xià zhè ge ma?	Can you help me carry this?	¿Me ayudas a llevar esto?	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3p015	你的包里有好吃的吗？	Nǐ de bāo lǐ yǒu hǎo chī de ma?	Is there anything tasty in your bag?	¿Tienes algo rico en tu bolsa?	verified	claude-blind,claude-review	
h3p016	我吃饱了，想睡觉。	Wǒ chī bǎo le, xiǎng shuì jiào.	I'm full and I want to sleep.	Ya me llené y quiero dormir.	verified	claude-blind,claude-review	
h3p017	我吃得好饱啊！	Wǒ chī de hǎo bǎo a!	I'm so full!	¡Qué lleno estoy!	verified	claude-blind,claude-review	
h3p018	我想去北方看雪。	Wǒ xiǎng qù běi fāng kàn xuě.	I want to go to the north to see snow.	Quiero ir al norte a ver la nieve.	verified	claude-blind,claude-review	
h3p019	你把我拿起来了！	Nǐ bǎ wǒ ná qǐ lái le!	You picked me up!	¡Me levantaste!	verified	claude-blind,claude-review	
h3p020	我的鼻子有点儿冷。	Wǒ de bí zi yǒu diǎnr lěng.	My nose is a bit cold.	Tengo la nariz un poco fría.	verified	claude-blind,claude-review	
h3p021	今天比较冷，你多穿点儿。	Jīn tiān bǐ jiào lěng, nǐ duō chuān diǎnr.	It's rather cold today, so wear more.	Hoy hace bastante frío, abrígate más.	verified	claude-blind,claude-review	
