id	script	reading	english	gloss	gloss_reading	status	checks	note
h2w001	吧	ba	(suggestion particle) let's…; …right?	(أَدَاةُ اقْتِرَاحٍ)؛ (أَدَاةُ تَأْكِيدٍ)	(adātu iqtirāḥ); (adātu taʾkīd)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w002	白	bái	white	أَبْيَضُ	Abyaḍ	verified	claude-blind,claude-review	
h2w003	百	bǎi	hundred	مِئَةٌ	Miʾa	verified	claude-blind,claude-review	
h2w004	帮助	bāng zhù	to help	سَاعَدَ	Sāʿad	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w005	报纸	bào zhǐ	newspaper	جَرِيدَةٌ	Jarīda	verified	claude-blind,claude-review	
h2w006	比	bǐ	than; compared with	(حَرْفُ مُقَارَنَةٍ بِمَعْنَى مِنْ)	(ḥarfu muqāranatin bimaʿnā min)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w007	别	bié	don't	(أَدَاةُ نَهْيٍ)	(adātu nahy)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w008	宾馆	bīn guǎn	hotel	فُنْدُقٌ	Funduq	verified	claude-blind,claude-review	
h2w009	长	cháng	long	طَوِيلٌ	Ṭawīl	verified	claude-blind,claude-review	
h2w010	唱歌	chàng gē	to sing	غَنَّى	Ghannā	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w011	出	chū	to go out; to come out	خَرَجَ	Kharaj	verified	claude-blind,claude-review	
h2w012	穿	chuān	to wear; to put on	لَبِسَ	Labis	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w013	次	cì	(measure word for times)	(كَلِمَةُ عَدٍّ لِلْمَرَّاتِ)	(kalimatu ʿaddin li-l-marrāt)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w014	从	cóng	from	(حَرْفُ جَرٍّ بِمَعْنَى مِنْ)	(ḥarfu jarrin bimaʿnā min)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w015	错	cuò	wrong	خَاطِئٌ	Khāṭiʾ	verified	claude-blind,claude-review	
h2w016	打篮球	dǎ lán qiú	to play basketball	لَعِبَ كُرَةَ السَّلَّةِ	Laʿiba kurata as-salla	verified	claude-blind,claude-review	
h2w017	大家	dà jiā	everyone	الْجَمِيعُ	Al-jamīʿ	verified	claude-blind,claude-review	
h2w018	到	dào	to arrive; to	وَصَلَ؛ (حَرْفُ جَرٍّ بِمَعْنَى إِلَى)	Waṣal; (ḥarfu jarrin bimaʿnā ilā)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w019	得	de	(structural particle after a verb)	(أَدَاةٌ نَحْوِيَّةٌ بَعْدَ الْفِعْلِ)	(adātun naḥwiyyatun baʿda al-fiʿl)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w020	等	děng	to wait	اِنْتَظَرَ	Intaẓar	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w021	弟弟	dì di	younger brother	أَخٌ أَصْغَرُ	Akhun aṣghar	verified	claude-blind,claude-review	
h2w022	第一	dì yī	first	أَوَّلُ	Awwal	verified	claude-blind,claude-review	
h2w023	懂	dǒng	to understand	فَهِمَ	Fahim	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w024	对	duì	correct; towards	صَحِيحٌ؛ (حَرْفُ جَرٍّ بِمَعْنَى نَحْوَ)	Ṣaḥīḥ; (ḥarfu jarrin bimaʿnā naḥw)	verified	claude-blind,claude-review	
h2w025	房间	fáng jiān	room	غُرْفَةٌ	Ghurfa	verified	claude-blind,claude-review	
h2w026	非常	fēi cháng	very; extremely	جِدًّا	Jiddan	verified	claude-blind,claude-review	
h2w027	服务员	fú wù yuán	waiter; attendant	نَادِلٌ؛ عَامِلٌ	Nādil; ʿāmil	verified	claude-blind,claude-review	
h2w028	高	gāo	tall; high	طَوِيلٌ؛ عَالٍ	Ṭawīl; ʿāl	verified	claude-blind,claude-review	
h2w029	告诉	gào su	to tell	أَخْبَرَ	Akhbar	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w030	哥哥	gē ge	older brother	أَخٌ أَكْبَرُ	Akhun akbar	verified	claude-blind,claude-review	
h2w031	给	gěi	to give; for	أَعْطَى؛ (حَرْفُ جَرٍّ بِمَعْنَى اللَّامِ)	Aʿṭā; (ḥarfu jarrin bimaʿnā al-lām)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w032	公共汽车	gōng gòng qì chē	bus	حَافِلَةٌ	Ḥāfila	verified	claude-blind,claude-review	
h2w033	公司	gōng sī	company	شَرِكَةٌ	Sharika	verified	claude-blind,claude-review	
h2w034	贵	guì	expensive	غَالٍ	Ghāl	verified	claude-blind,claude-review	
h2w035	过	guo	(particle for past experience)	(أَدَاةٌ لِلْخِبْرَةِ الْمَاضِيَةِ)	(adātun li-l-khibrati al-māḍiya)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w036	还	hái	still; also	(ظَرْفٌ بِمَعْنَى لَا يَزَالُ)؛ أَيْضًا	(ẓarfun bimaʿnā lā yazāl); ayḍan	verified	claude-blind,claude-review	
h2w037	孩子	hái zi	child	طِفْلٌ	Ṭifl	verified	claude-blind,claude-review	
h2w038	好吃	hǎo chī	tasty	لَذِيذٌ	Ladhīdh	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (verbs are cited in the past tense; grammar words described)
h2w039	黑	hēi	black	أَسْوَدُ	Aswad	verified	claude-blind,claude-review	
h2w040	红	hóng	red	أَحْمَرُ	Aḥmar	verified	claude-blind,claude-review	
