id	script	reading	english	gloss	gloss_reading	status	checks	note
x001	你好！｜你好！	Nǐ hǎo! | Nǐ hǎo!	Hello! | Hello!	مَرْحَبًا! | مَرْحَبًا!	Marḥaban! | Marḥaban!	verified	claude-blind,claude-review	
x002	你好吗？｜我很好，谢谢。你呢？｜我很好。	Nǐ hǎo ma? | Wǒ hěn hǎo, xiè xie. Nǐ ne? | Wǒ hěn hǎo.	How are you? | I'm fine, thanks. And you? | I'm fine.	كَيْفَ حَالُكَ؟ | أَنَا بِخَيْرٍ، شُكْرًا. وَأَنْتَ؟ | أَنَا بِخَيْرٍ.	Kayfa ḥāluk? | Anā bikhayr, shukran. Waʾant? | Anā bikhayr.	verified	claude-blind,claude-review	
x003	你们好！｜你好！	Nǐ men hǎo! | Nǐ hǎo!	Hello, everyone! | Hello!	مَرْحَبًا بِكُمْ جَمِيعًا! | مَرْحَبًا!	Marḥaban bikum jamīʿan! | Marḥaban!	verified	claude-blind,claude-review	
x004	你在哪儿？｜我在这儿！	Nǐ zài nǎr? | Wǒ zài zhèr!	Where are you? | I'm here!	أَيْنَ أَنْتَ؟ | أَنَا هُنَا!	Ayna anta? | Anā hunā!	verified	claude-blind,claude-review	
x005	谁在那儿？｜是我！	Shéi zài nàr? | Shì wǒ!	Who's there? | It's me!	مَنْ هُنَاكَ؟ | أَنَا!	Man hunāk? | Anā!	verified	claude-blind,claude-review	
x006	你在做什么？｜我在吃东西。	Nǐ zài zuò shén me? | Wǒ zài chī dōng xi.	What are you doing? | I'm eating.	مَاذَا تَفْعَلُ؟ | أَنَا آكُلُ.	Mādhā tafʿal? | Anā ākul.	verified	claude-blind,claude-review	
x007	你在看什么？｜我在看你。	Nǐ zài kàn shén me? | Wǒ zài kàn nǐ.	What are you looking at? | I'm looking at you.	إِلَى مَاذَا تَنْظُرُ؟ | أَنَا أَنْظُرُ إِلَيْكَ.	Ilā mādhā tanẓur? | Anā anẓuru ilayk.	verified	claude-blind,claude-review	
x008	你认识他吗？｜我不认识他。	Nǐ rèn shi tā ma? | Wǒ bú rèn shi tā.	Do you know him? | I don't know him.	هَلْ تَعْرِفُهُ؟ | لَا أَعْرِفُهُ.	Hal taʿrifuh? | Lā aʿrifuh.	verified	claude-blind,claude-review	
x009	他是谁？｜他是我的朋友。	Tā shì shéi? | Tā shì wǒ de péng you.	Who is he? | He is my friend.	مَنْ هُوَ؟ | هُوَ صَدِيقِي.	Man huwa? | Huwa ṣadīqī.	verified	claude-blind,claude-review	
x010	我们是朋友吗？｜是的！我们是朋友。	Wǒ men shì péng you ma? | Shì de! Wǒ men shì péng you.	Are we friends? | Yes! We are friends.	هَلْ نَحْنُ أَصْدِقَاءُ؟ | نَعَمْ! نَحْنُ أَصْدِقَاءُ.	Hal naḥnu aṣdiqāʾ? | Naʿam! Naḥnu aṣdiqāʾ.	verified	claude-blind,claude-review	
x011	你有朋友吗？｜有，你是我的朋友。	Nǐ yǒu péng you ma? | Yǒu, nǐ shì wǒ de péng you.	Do you have friends? | Yes, you're my friend.	هَلْ لَدَيْكَ أَصْدِقَاءُ؟ | نَعَمْ، أَنْتَ صَدِيقِي.	Hal ladayka aṣdiqāʾ? | Naʿam, anta ṣadīqī.	verified	claude-blind,claude-review	
x012	再见！｜明天见！	Zài jiàn! | Míng tiān jiàn!	Goodbye! | See you tomorrow!	مَعَ السَّلَامَةِ! | أَرَاكَ غَدًا!	Maʿa as-salāma! | Arāka ghadan!	verified	claude-blind,claude-review	
x013	谢谢你！｜不客气。	Xiè xie nǐ! | Bú kè qi.	Thank you! | You're welcome.	شُكْرًا لَكَ! | عَفْوًا.	Shukran lak! | ʿAfwan.	verified	claude-blind,claude-review	
x014	对不起！｜没关系。	Duì bu qǐ! | Méi guān xi.	Sorry! | It's okay.	آسِفٌ! | لَا بَأْسَ.	Āsif! | Lā baʾs.	verified	claude-blind,claude-review	
x015	你好漂亮！｜谢谢！	Nǐ hǎo piào liang! | Xiè xie!	You're so pretty! | Thanks!	أَنْتَ جَمِيلٌ جِدًّا! | شُكْرًا!	Anta jamīlun jiddan! | Shukran!	verified	claude-blind,claude-review	
x016	你的衣服很漂亮。｜谢谢你！	Nǐ de yī fu hěn piào liang. | Xiè xie nǐ!	Your clothes are very pretty. | Thank you!	مَلَابِسُكَ جَمِيلَةٌ جِدًّا. | شُكْرًا لَكَ!	Malābisuka jamīlatun jiddan. | Shukran lak!	verified	claude-blind,claude-review	
x017	我爱你。｜谢谢！我很高兴。	Wǒ ài nǐ. | Xiè xie! Wǒ hěn gāo xìng.	I love you. | Thanks! I'm very happy.	أُحِبُّكَ. | شُكْرًا! أَنَا سَعِيدٌ جِدًّا.	Uḥibbuk. | Shukran! Anā saʿīdun jiddan.	verified	claude-blind,claude-review	
