id	script	reading	english	tags	status	checks	note
p001	你好！	Nǐ hǎo!	Hello!	greet	verified	claude-blind,claude-review	
p002	你好吗？	Nǐ hǎo ma?	How are you?	greet	verified	claude-blind,claude-review	
p003	喂！	Wèi!	Hey! / Hello!	greet,grabbed	verified	claude-blind,claude-review	
p004	喂，你好！	Wèi, nǐ hǎo!	Hey, hello!	greet	verified	claude-blind,claude-review	
p005	我在这儿！	Wǒ zài zhèr!	I'm here!	greet	verified	claude-blind,claude-review	
p006	你在哪儿？	Nǐ zài nǎr?	Where are you?	greet	verified	claude-blind,claude-review	
p007	你去哪儿？	Nǐ qù nǎr?	Where are you going?	greet	verified	claude-blind,claude-review	
p008	你回来了！	Nǐ huí lái le!	You're back!	greet	verified	claude-blind,claude-review	
p009	你来了！	Nǐ lái le!	You came!	greet	verified	claude-blind,claude-review	
p010	我很好，谢谢。你呢？	Wǒ hěn hǎo, xiè xie. Nǐ ne?	I'm fine, thanks. And you?	greet	verified	claude-blind,claude-review	
p011	你叫什么名字？	Nǐ jiào shén me míng zi?	What's your name?	greet	verified	claude-blind,claude-review	
p012	我认识你！	Wǒ rèn shi nǐ!	I know you!	greet	verified	claude-blind,claude-review	
p013	你是谁？	Nǐ shì shéi?	Who are you?	greet	verified	claude-blind,claude-review	
p014	下午好！	Xià wǔ hǎo!	Good afternoon!	greet	verified	claude-blind,claude-review	
p015	你今天怎么样？	Nǐ jīn tiān zěn me yàng?	How are you today?	greet	verified	claude-blind,claude-review	
p016	你在做什么？	Nǐ zài zuò shén me?	What are you doing?	greet	verified	claude-blind,claude-review	
p017	你在看什么？	Nǐ zài kàn shén me?	What are you looking at?	greet	verified	claude-blind,claude-review	
p018	你是我的朋友。	Nǐ shì wǒ de péng you.	You are my friend.	greet	verified	claude-blind,claude-review	
p019	我们是朋友。	Wǒ men shì péng you.	We are friends.	greet	verified	claude-blind,claude-review	
p020	再见！	Zài jiàn!	Goodbye!	goodbye	verified	claude-blind,claude-review	
p021	明天见！	Míng tiān jiàn!	See you tomorrow!	goodbye	verified	claude-blind,claude-review	
p022	下午见！	Xià wǔ jiàn!	See you this afternoon!	goodbye	verified	claude-blind,claude-review	
p023	我回家了。	Wǒ huí jiā le.	I'm going home.	goodbye	verified	claude-blind,claude-review	
p024	我去睡觉了。	Wǒ qù shuì jiào le.	I'm going to sleep.	goodbye	verified	claude-blind,claude-review	
p025	我想吃东西。	Wǒ xiǎng chī dōng xi.	I want to eat something.	hungry	verified	claude-blind,claude-review	
p026	我想吃饭。	Wǒ xiǎng chī fàn.	I want to eat.	hungry	verified	claude-blind,claude-review	
p027	我想吃米饭。	Wǒ xiǎng chī mǐ fàn.	I want to eat rice.	hungry	verified	claude-blind,claude-review	
p028	我想吃苹果。	Wǒ xiǎng chī píng guǒ.	I want to eat an apple.	hungry	verified	claude-blind,claude-review	
p029	我想吃水果。	Wǒ xiǎng chī shuǐ guǒ.	I want to eat fruit.	hungry	verified	claude-blind,claude-review	
p030	我没有吃饭。	Wǒ méi yǒu chī fàn.	I haven't eaten.	hungry	verified	claude-blind,claude-review	
p031	我今天没有吃饭。	Wǒ jīn tiān méi yǒu chī fàn.	I haven't eaten today.	hungry	verified	claude-blind,claude-review	
p032	什么时候吃饭？	Shén me shí hou chī fàn?	When do we eat?	hungry	verified	claude-blind,claude-review	
p033	中午吃什么？	Zhōng wǔ chī shén me?	What's for lunch?	hungry	verified	claude-blind,claude-review	
p034	你有苹果吗？	Nǐ yǒu píng guǒ ma?	Do you have an apple?	hungry	verified	claude-blind,claude-review	
p035	你有米饭吗？	Nǐ yǒu mǐ fàn ma?	Do you have rice?	hungry	verified	claude-blind,claude-review	
p036	我想喝水。	Wǒ xiǎng hē shuǐ.	I want to drink water.	hungry	verified	claude-blind,claude-review	
p037	我想喝茶。	Wǒ xiǎng hē chá.	I want to drink tea.	hungry	verified	claude-blind,claude-review	
p038	我很想吃东西。	Wǒ hěn xiǎng chī dōng xi.	I really want to eat something.	hungry	verified	claude-blind,claude-review	
p039	我想吃很多东西。	Wǒ xiǎng chī hěn duō dōng xi.	I want to eat lots of things.	hungry	verified	claude-blind,claude-review	
p040	这个能吃吗？	Zhè ge néng chī ma?	Can this be eaten?	hungry	verified	claude-blind,claude-review	
p041	我能吃这个吗？	Wǒ néng chī zhè ge ma?	May I eat this?	hungry	verified	claude-blind,claude-review	
p042	你吃饭了吗？	Nǐ chī fàn le ma?	Have you eaten?	hungry	verified	claude-blind,claude-review	
p043	我们去饭店吃饭。	Wǒ men qù fàn diàn chī fàn.	We're going to a restaurant to eat.	hungry	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: English corrected by review; blind reading agrees in substance
p044	我想睡觉。	Wǒ xiǎng shuì jiào.	I want to sleep.	tired	verified	claude-blind,claude-review	
p045	我很想睡觉。	Wǒ hěn xiǎng shuì jiào.	I really want to sleep.	tired	verified	claude-blind,claude-review	
p046	我不想工作。	Wǒ bù xiǎng gōng zuò.	I don't want to work.	tired	verified	claude-blind,claude-review	
p047	现在几点了？	Xiàn zài jǐ diǎn le?	What time is it now?	tired	verified	claude-blind,claude-review	
p048	我今天做了很多工作。	Wǒ jīn tiān zuò le hěn duō gōng zuò.	I worked a lot today.	tired	verified	claude-blind,claude-review	
p049	我想回家睡觉。	Wǒ xiǎng huí jiā shuì jiào.	I want to go home and sleep.	tired	verified	claude-blind,claude-review	
p050	我不想读书。	Wǒ bù xiǎng dú shū.	I don't want to study.	tired	verified	claude-blind,claude-review	
p051	我想坐一下。	Wǒ xiǎng zuò yí xià.	I want to sit for a bit.	tired	verified	claude-blind,claude-review	
p052	我睡觉了。	Wǒ shuì jiào le.	I'm going to bed.	tired,goodbye	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: English corrected by review; blind reading agrees in substance
p053	现在几点？	Xiàn zài jǐ diǎn?	What time is it?	wake	verified	claude-blind,claude-review	
p054	今天是星期几？	Jīn tiān shì xīng qī jǐ?	What day is it today?	wake	verified	claude-blind,claude-review	
p055	你好！我在这儿。	Nǐ hǎo! Wǒ zài zhèr.	Hello! I'm here.	wake	verified	claude-blind,claude-review	
p056	我很高兴！	Wǒ hěn gāo xìng!	I'm very happy!	happy	verified	claude-blind,claude-review	
p057	太好了！	Tài hǎo le!	Great!	happy	verified	claude-blind,claude-review	
p058	很好！	Hěn hǎo!	Very good!	happy	verified	claude-blind,claude-review	
p059	我很好。	Wǒ hěn hǎo.	I'm fine.	happy	verified	claude-blind,claude-review	
p060	我喜欢你。	Wǒ xǐ huan nǐ.	I like you.	happy	verified	claude-blind,claude-review	
p061	我爱你。	Wǒ ài nǐ.	I love you.	happy	verified	claude-blind,claude-review	
p062	我喜欢这儿。	Wǒ xǐ huan zhèr.	I like it here.	happy	verified	claude-blind,claude-review	
p063	今天我很高兴。	Jīn tiān wǒ hěn gāo xìng.	I'm happy today.	happy	verified	claude-blind,claude-review	
p064	我们都很高兴。	Wǒ men dōu hěn gāo xìng.	We're all happy.	happy	verified	claude-blind,claude-review	
p065	谢谢你！	Xiè xie nǐ!	Thank you!	pet	verified	claude-blind,claude-review	
p066	谢谢！	Xiè xie!	Thanks!	pet	verified	claude-blind,claude-review	
p067	我喜欢这个。	Wǒ xǐ huan zhè ge.	I like this.	pet	verified	claude-blind,claude-review	
p068	你很好。	Nǐ hěn hǎo.	You're very nice.	pet	verified	claude-blind,claude-review	
p069	你是我的朋友！	Nǐ shì wǒ de péng you!	You're my friend!	pet	verified	claude-blind,claude-review	
p070	我爱你！	Wǒ ài nǐ!	I love you!	pet	verified	claude-blind,claude-review	
p071	好吃！	Hǎo chī!	Tasty!	fed	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind gloss is a synonym of the intended English
p072	很好吃！	Hěn hǎo chī!	Very tasty!	fed	verified	claude-blind,claude-review	
p073	太好吃了！	Tài hǎo chī le!	So tasty!	fed	verified	claude-blind,claude-review	
p074	谢谢，很好吃！	Xiè xie, hěn hǎo chī!	Thanks, it's very tasty!	fed	verified	claude-blind,claude-review	
p075	我喜欢吃这个。	Wǒ xǐ huan chī zhè ge.	I like eating this.	fed	verified	claude-blind,claude-review	
p076	我吃了很多。	Wǒ chī le hěn duō.	I ate a lot.	fed	verified	claude-blind,claude-review	
p077	这是什么？很好吃！	Zhè shì shén me? Hěn hǎo chī!	What is this? It's very tasty!	fed	verified	claude-blind,claude-review	
p078	你做什么？	Nǐ zuò shén me?	What are you doing?	grabbed	rejected	claude-review	Bare 你做什么？ is abrupt/ambiguous (reads as 'What do you do?' or a confrontational 'What are you doing?!'); the natural forms already exist as p016 你在做什么 and p081 你想做什么.
p079	不！	Bù!	No!	grabbed	verified	claude-blind,claude-review	
p080	不，不，不！	Bù, bù, bù!	No, no, no!	grabbed	verified	claude-blind,claude-review	
p081	你想做什么？	Nǐ xiǎng zuò shén me?	What do you want to do?	grabbed	verified	claude-blind,claude-review	
p082	我不喜欢这个！	Wǒ bù xǐ huan zhè ge!	I don't like this!	grabbed	verified	claude-blind,claude-review	
p083	我在哪儿？	Wǒ zài nǎr?	Where am I?	grabbed	verified	claude-blind,claude-review	
p084	我们去哪儿？	Wǒ men qù nǎr?	Where are we going?	grabbed	verified	claude-blind,claude-review	
p085	对不起！	Duì bu qǐ!	Sorry!	dropped	verified	claude-blind,claude-review	
p086	没关系。	Méi guān xi.	It's okay.	dropped	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind gloss is a synonym of the intended English
p087	不好！	Bù hǎo!	Not good!	dropped	verified	claude-blind,claude-review	
p088	我不喜欢这个。	Wǒ bù xǐ huan zhè ge.	I don't like this.	dropped	verified	claude-blind,claude-review	
p089	这是什么？	Zhè shì shén me?	What is this?	chew	verified	claude-blind,claude-review	
p090	这个是什么东西？	Zhè ge shì shén me dōng xi?	What is this thing?	chew	verified	claude-blind,claude-review	
p091	我想吃这个。	Wǒ xiǎng chī zhè ge.	I want to eat this.	chew	verified	claude-blind,claude-review	
p092	这个很好吃。	Zhè ge hěn hǎo chī.	This is very tasty.	chew	verified	claude-blind,claude-review	
p093	这个不好吃。	Zhè ge bù hǎo chī.	This isn't tasty.	chew	verified	claude-blind,claude-review	
p094	这是我的！	Zhè shì wǒ de!	This is mine!	chew	verified	claude-blind,claude-review	
p095	那是什么？	Nà shì shén me?	What is that?	chew	verified	claude-blind,claude-review	
p096	这个电脑很好吃。	Zhè ge diàn nǎo hěn hǎo chī.	This computer is very tasty.	chew	verified	claude-blind,claude-review	
p097	我在吃东西。	Wǒ zài chī dōng xi.	I'm eating.	chew	verified	claude-blind,claude-review	
p098	这个字怎么读？	Zhè ge zì zěn me dú?	How do you read this character?	chew	verified	claude-blind,claude-review	
p099	你好？	Nǐ hǎo?	Hello?	lonely	verified	claude-blind,claude-review	
