id	script	reading	english	gloss	gloss_reading	status	checks	note
h3p001	阿姨，你今天来得真早！	Ā yí, nǐ jīn tiān lái de zhēn zǎo!	Auntie, you're here so early today!	يَا خَالَتِي، جِئْتِ مُبَكِّرَةً الْيَوْمَ حَقًّا!	Yā khālatī, jiʾti mubakkiratan al-yawma ḥaqqan!	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English (wording only)
h3p002	啊，你回来了！	A, nǐ huí lái le!	Ah, you're back!	آهٍ، لَقَدْ عُدْتَ!	Āh, laqad ʿudt!	verified	claude-blind,claude-review	
h3p003	我个子太矮，拿不到桌上的包。	Wǒ gè zi tài ǎi, ná bú dào zhuō shàng de bāo.	I'm too short to get the bag on the table.	أَنَا أَقْصَرُ مِنْ أَنْ أَصِلَ إِلَى الْحَقِيبَةِ الَّتِي عَلَى الطَّاوِلَةِ.	Anā aqṣaru min an aṣila ilā al-ḥaqībati allatī ʿalā aṭ-ṭāwila.	verified	claude-blind,claude-review	
h3p004	你的爱好是什么？	Nǐ de ài hào shì shén me?	What's your hobby?	مَا هِوَايَتُكَ؟	Mā hiwāyatuk?	verified	claude-blind,claude-review	
h3p005	我的爱好是睡觉。	Wǒ de ài hào shì shuì jiào.	My hobby is sleeping.	هِوَايَتِي هِيَ النَّوْمُ.	Hiwāyatī hiya an-nawm.	verified	claude-blind,claude-review	
h3p006	这里好安静，我想睡觉了。	Zhè lǐ hǎo ān jìng, wǒ xiǎng shuì jiào le.	It's so quiet here. I feel like sleeping.	الْمَكَانُ هَادِئٌ جِدًّا هُنَا، أُرِيدُ أَنْ أَنَامَ.	Al-makānu hādiʾun jiddan hunā, urīdu an anām.	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English (wording only)
h3p007	请你把我放在灯下面。	Qǐng nǐ bǎ wǒ fàng zài dēng xià mian.	Please put me under the light.	مِنْ فَضْلِكَ، ضَعْنِي تَحْتَ الْمِصْبَاحِ.	Min faḍlik, ḍaʿnī taḥta al-miṣbāḥ.	verified	claude-blind,claude-review	
h3p008	你今天几点上班？	Nǐ jīn tiān jǐ diǎn shàng bān?	What time do you start work today?	فِي أَيِّ سَاعَةٍ تَبْدَأُ الْعَمَلَ الْيَوْمَ؟	Fī ayyi sāʿatin tabdaʾu al-ʿamala al-yawm?	verified	claude-blind,claude-review	
h3p009	我们班的同学都很好。	Wǒ men bān de tóng xué dōu hěn hǎo.	Everyone in our class is nice.	زُمَلَاؤُنَا فِي الصَّفِّ كُلُّهُمْ لُطَفَاءُ.	Zumalāʾunā fī aṣ-ṣaffi kulluhum luṭafāʾ.	verified	claude-blind,claude-review	
h3p010	别搬我，我很重！	Bié bān wǒ, wǒ hěn zhòng!	Don't move me, I'm heavy!	لَا تَنْقُلْنِي، أَنَا ثَقِيلٌ!	Lā tanqulnī, anā thaqīl!	verified	claude-blind,claude-review	
h3p011	我只吃了半个蛋糕。	Wǒ zhǐ chī le bàn gè dàn gāo.	I only ate half a cake.	أَكَلْتُ نِصْفَ كَعْكَةٍ فَقَطْ.	Akaltu niṣfa kaʿkatin faqaṭ.	verified	claude-blind,claude-review	
h3p012	我没有办法，只好等你。	Wǒ méi yǒu bàn fǎ, zhǐ hǎo děng nǐ.	I have no choice but to wait for you.	لَيْسَ عِنْدِي حِيلَةٌ، لَا أَسْتَطِيعُ إِلَّا أَنْ أَنْتَظِرَكَ.	Laysa ʿindī ḥīla, lā astaṭīʿu illā an antaẓirak.	verified	claude-blind,claude-review	
h3p013	你的办公室大不大？	Nǐ de bàn gōng shì dà bu dà?	Is your office big?	هَلْ مَكْتَبُكَ كَبِيرٌ؟	Hal maktabuka kabīr?	verified	claude-blind,claude-review	
h3p014	你能帮忙拿一下这个吗？	Nǐ néng bāng máng ná yí xià zhè ge ma?	Can you help me carry this?	هَلْ تَسْتَطِيعُ أَنْ تُسَاعِدَنِي فِي حَمْلِ هٰذَا؟	Hal tastaṭīʿu an tusāʿidanī fī ḥamli hādhā?	verified	claude-blind,claude-review	
h3p015	你的包里有好吃的吗？	Nǐ de bāo lǐ yǒu hǎo chī de ma?	Is there anything tasty in your bag?	هَلْ فِي حَقِيبَتِكَ شَيْءٌ لَذِيذٌ؟	Hal fī ḥaqībatika shayʾun ladhīdh?	verified	claude-blind,claude-review	
h3p016	我吃饱了，想睡觉。	Wǒ chī bǎo le, xiǎng shuì jiào.	I'm full and I want to sleep.	شَبِعْتُ، وَأُرِيدُ أَنْ أَنَامَ.	Shabiʿt, waʾurīdu an anām.	verified	claude-blind,claude-review	
h3p017	我吃得好饱啊！	Wǒ chī de hǎo bǎo a!	I'm so full!	لَقَدْ شَبِعْتُ جِدًّا!	Laqad shabiʿtu jiddan!	verified	claude-blind,claude-review	
h3p018	我想去北方看雪。	Wǒ xiǎng qù běi fāng kàn xuě.	I want to go to the north to see snow.	أُرِيدُ أَنْ أَذْهَبَ إِلَى الشَّمَالِ لِأَرَى الثَّلْجَ.	Urīdu an adhhaba ilā ash-shamāli liʾarā ath-thalj.	verified	claude-blind,claude-review	
h3p019	你把我拿起来了！	Nǐ bǎ wǒ ná qǐ lái le!	You picked me up!	لَقَدْ رَفَعْتَنِي!	Laqad rafaʿtanī!	verified	claude-blind,claude-review	
h3p020	我的鼻子有点儿冷。	Wǒ de bí zi yǒu diǎnr lěng.	My nose is a bit cold.	أَنْفِي بَارِدٌ قَلِيلًا.	Anfī bāridun qalīlan.	verified	claude-blind,claude-review	
h3p021	今天比较冷，你多穿点儿。	Jīn tiān bǐ jiào lěng, nǐ duō chuān diǎnr.	It's rather cold today, so wear more.	الْجَوُّ بَارِدٌ نَوْعًا مَا الْيَوْمَ، فَالْبَسْ مَلَابِسَ أَكْثَرَ.	Al-jawwu bāridun nawʿan mā al-yawm, fa-l-bas malābisa akthar.	verified	claude-blind,claude-review	
h3p022	你的比赛什么时候开始？	Nǐ de bǐ sài shén me shí hou kāi shǐ?	When does your match start?	مَتَى تَبْدَأُ مُبَارَاتُكَ؟	Matā tabdaʾu mubārātuk?	verified	claude-blind,claude-review	
h3p023	你的笔记本可以借我吗？	Nǐ de bǐ jì běn kě yǐ jiè wǒ ma?	Can I borrow your notebook?	هَلْ يُمْكِنُنِي أَنْ أَسْتَعِيرَ دَفْتَرَكَ؟	Hal yumkinunī an astaʿīra daftarak?	verified	claude-blind,claude-review	
h3p024	你必须早点儿睡觉。	Nǐ bì xū zǎo diǎnr shuì jiào.	You must go to bed early.	يَجِبُ أَنْ تَنَامَ مُبَكِّرًا.	Yajibu an tanāma mubakkiran.	verified	claude-blind,claude-review	
h3p025	天气有变化，要下雨了。	Tiān qì yǒu biàn huà, yào xià yǔ le.	The weather is changing. It's going to rain.	الْجَوُّ يَتَغَيَّرُ، وَسَتُمْطِرُ قَرِيبًا.	Al-jawwu yataghayyar, wasatumṭiru qarīban.	verified	claude-blind,claude-review	
h3p026	别人都走了，只有我在这儿。	Bié rén dōu zǒu le, zhǐ yǒu wǒ zài zhèr.	Everyone else has gone. Only I'm here.	ذَهَبَ الْآخَرُونَ كُلُّهُمْ، وَبَقِيتُ أَنَا هُنَا فَقَطْ.	Dhahaba al-ʾākharūna kulluhum, wabaqītu anā hunā faqaṭ.	verified	claude-blind,claude-review	
h3p027	冰箱里有蛋糕吗？	Bīng xiāng lǐ yǒu dàn gāo ma?	Is there any cake in the fridge?	هَلْ فِي الثَّلَّاجَةِ كَعْكَةٌ؟	Hal fī ath-thallājati kaʿka?	verified	claude-blind,claude-review	
h3p028	我不但饿，而且很累。	Wǒ bú dàn è, ér qiě hěn lèi.	I'm not only hungry, I'm tired too.	أَنَا لَسْتُ جَائِعًا فَقَطْ، بَلْ مُتْعَبٌ أَيْضًا.	Anā lastu jāʾiʿan faqaṭ, bal mutʿabun ayḍan.	verified	claude-blind,claude-review	
h3p029	把菜单给我看看吧。	Bǎ cài dān gěi wǒ kàn kan ba.	Let me see the menu.	أَرِنِي قَائِمَةَ الطَّعَامِ، مِنْ فَضْلِكَ.	Arinī qāʾimata aṭ-ṭaʿām, min faḍlik.	verified	claude-blind,claude-review	
h3p030	你怎么才回来？	Nǐ zěn me cái huí lái?	Why are you only just back?	لِمَاذَا لَمْ تَعُدْ إِلَّا الْآنَ؟	Limādhā lam taʿud illā al-ʾān?	verified	claude-blind,claude-review	
h3p031	我想参加你的比赛。	Wǒ xiǎng cān jiā nǐ de bǐ sài.	I want to take part in your match.	أُرِيدُ أَنْ أُشَارِكَ فِي مُبَارَاتِكَ.	Urīdu an ushārika fī mubārātik.	verified	claude-blind,claude-review	
h3p032	外面的草绿了。	Wài mian de cǎo lǜ le.	The grass outside has turned green.	أَصْبَحَ الْعُشْبُ فِي الْخَارِجِ أَخْضَرَ.	Aṣbaḥa al-ʿushbu fī al-khāriji akhḍar.	verified	claude-blind,claude-review	
h3p033	你住在几层？	Nǐ zhù zài jǐ céng?	Which floor do you live on?	فِي أَيِّ طَابِقٍ تَسْكُنُ؟	Fī ayyi ṭābiqin taskun?	verified	claude-blind,claude-review	
h3p034	我的成绩比上次差。	Wǒ de chéng jì bǐ shàng cì chà.	My grade is worse than last time.	دَرَجَاتِي أَسْوَأُ مِنَ الْمَرَّةِ الْمَاضِيَةِ.	Darajātī aswaʾu mina al-marrati al-māḍiya.	verified	claude-blind,claude-review	
h3p035	你带我去超市，好吗？	Nǐ dài wǒ qù chāo shì, hǎo ma?	Will you take me to the supermarket?	هَلْ تَأْخُذُنِي إِلَى الْمَتْجَرِ الْكَبِيرِ؟	Hal taʾkhudhunī ilā al-matjari al-kabīr?	verified	claude-blind,claude-review	
h3p036	你的衬衫真好看。	Nǐ de chèn shān zhēn hǎo kàn.	Your shirt looks really nice.	قَمِيصُكَ جَمِيلٌ حَقًّا.	Qamīṣuka jamīlun ḥaqqan.	verified	claude-blind,claude-review	
h3p037	我今天的成绩不错！	Wǒ jīn tiān de chéng jì bú cuò!	My grade today is pretty good!	دَرَجَاتِي الْيَوْمَ جَيِّدَةٌ جِدًّا!	Darajātī al-yawma jayyidatun jiddan!	verified	claude-blind,claude-review	
h3p038	这个城市很大，也很漂亮。	Zhè ge chéng shì hěn dà, yě hěn piào liang.	This city is big and pretty.	هٰذِهِ الْمَدِينَةُ كَبِيرَةٌ وَجَمِيلَةٌ أَيْضًا.	Hādhihi al-madīnatu kabīratun wajamīlatun ayḍan.	verified	claude-blind,claude-review	
h3p039	我快迟到了，你快点儿！	Wǒ kuài chí dào le, nǐ kuài diǎnr!	I'm going to be late, hurry up!	سَأَتَأَخَّرُ، أَسْرِعْ!	Saʾataʾakhkhar, asriʿ!	verified	claude-blind,claude-review	
h3p040	你怎么又迟到了？	Nǐ zěn me yòu chí dào le?	Why are you late again?	لِمَاذَا تَأَخَّرْتَ مَرَّةً أُخْرَى؟	Limādhā taʾakhkharta marratan ukhrā?	verified	claude-blind,claude-review	
h3p041	你终于出现了！	Nǐ zhōng yú chū xiàn le!	You finally showed up!	ظَهَرْتَ أَخِيرًا!	Ẓaharta akhīran!	verified	claude-blind,claude-review	
