id	script	reading	english	gloss	status	checks	note
w001	爱	ài	love	amar	verified	claude-blind,claude-review	
w002	八	bā	eight	ocho	verified	claude-blind,claude-review	
w003	爸爸	bà ba	dad	papá	verified	claude-blind,claude-review	
w004	杯子	bēi zi	cup	vaso; taza	verified	claude-blind,claude-review	
w005	北京	běi jīng	Beijing	Pekín	verified	claude-blind,claude-review	
w006	本	běn	(measure word for books)	(clasificador para libros)	verified	claude-blind,claude-review	
w007	不客气	bú kè qi	you're welcome	de nada	verified	claude-blind,claude-review	
w008	不	bù	not; no	no	verified	claude-blind,claude-review	
w009	菜	cài	dish; vegetable	plato; verdura	verified	claude-blind,claude-review	
w010	茶	chá	tea	té	verified	claude-blind,claude-review	
w011	吃	chī	to eat	comer	verified	claude-blind,claude-review	
w012	出租车	chū zū chē	taxi	taxi	verified	claude-blind,claude-review	
w013	打电话	dǎ diàn huà	to make a phone call	llamar por teléfono	verified	claude-blind,claude-review	
w014	大	dà	big	grande	verified	claude-blind,claude-review	
w015	的	de	(possessive particle)	(partícula posesiva)	verified	claude-blind,claude-review	
w016	点	diǎn	o'clock; a little	en punto; un poco	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish description, or the intended sense per the verified English
w017	电脑	diàn nǎo	computer	computadora	verified	claude-blind,claude-review	
w018	电视	diàn shì	television	televisión	verified	claude-blind,claude-review	
w019	电影	diàn yǐng	film	película	verified	claude-blind,claude-review	
w020	东西	dōng xi	thing	cosa	verified	claude-blind,claude-review	
w021	都	dōu	all; both	todos; ambos	verified	claude-blind,claude-review	
w022	读	dú	to read	leer	verified	claude-blind,claude-review	
w023	对不起	duì bu qǐ	sorry	lo siento	verified	claude-blind,claude-review	
w024	多	duō	many; much	mucho	verified	claude-blind,claude-review	
w025	多少	duō shao	how many; how much	cuánto	verified	claude-blind,claude-review	
w026	儿子	ér zi	son	hijo	verified	claude-blind,claude-review	
w027	二	èr	two	dos	verified	claude-blind,claude-review	
w028	饭店	fàn diàn	restaurant; hotel	restaurante; hotel	verified	claude-blind,claude-review	
