id	script	reading	english	gloss	gloss_reading	status	checks	note
h2x001	你好！｜你好！你今天忙吗？｜不忙，我很高兴。	Nǐ hǎo! | Nǐ hǎo! Nǐ jīn tiān máng ma? | Bù máng, wǒ hěn gāo xìng.	Hello! | Hello! Are you busy today? | Not busy, I'm very happy.	مَرْحَبًا! | مَرْحَبًا! هَلْ أَنْتَ مَشْغُولٌ الْيَوْمَ؟ | لَسْتُ مَشْغُولًا، أَنَا سَعِيدٌ جِدًّا.	Marḥaban! | Marḥaban! Hal anta mashghūlun al-yawm? | Lastu mashghūlan, anā saʿīdun jiddan.	draft		
h2x002	你好吗？｜我很好，你呢？｜我也很好。	Nǐ hǎo ma? | Wǒ hěn hǎo, nǐ ne? | Wǒ yě hěn hǎo.	How are you? | I'm well, and you? | I'm well too.	كَيْفَ حَالُكَ؟ | أَنَا بِخَيْرٍ، وَأَنْتَ؟ | أَنَا بِخَيْرٍ أَيْضًا.	Kayfa ḥāluk? | Anā bikhayr, waʾant? | Anā bikhayrin ayḍan.	draft		
h2x003	你是新同学吗？欢迎你！｜谢谢！我们做朋友吧！	Nǐ shì xīn tóng xué ma? Huān yíng nǐ! | Xiè xie! Wǒ men zuò péng you ba!	Are you the new student? Welcome! | Thanks! Let's be friends!	هَلْ أَنْتَ الطَّالِبُ الْجَدِيدُ؟ أَهْلًا وَسَهْلًا بِكَ! | شُكْرًا! لِنَكُنْ أَصْدِقَاءَ!	Hal anta aṭ-ṭālibu al-jadīd? Ahlan wasahlan bik! | Shukran! Linakun aṣdiqāʾ!	draft		
h2x004	你好，你姓什么？｜我姓高，你呢？｜我姓白。	Nǐ hǎo, nǐ xìng shén me? | Wǒ xìng gāo, nǐ ne? | Wǒ xìng bái.	Hello, what's your surname? | My surname is Gao, and yours? | My surname is Bai.	مَرْحَبًا، مَا اسْمُ عَائِلَتِكَ؟ | اسْمُ عَائِلَتِي غَوْ، وَأَنْتَ؟ | اسْمُ عَائِلَتِي بَيْ.	Marḥaban, mā ismu ʿāʾilatik? | Ismu ʿāʾilatī ghaw, waʾant? | Ismu ʿāʾilatī bay.	draft		
h2x005	你今天很高兴，为什么？｜因为今天是我的生日！	Nǐ jīn tiān hěn gāo xìng, wèi shén me? | Yīn wèi jīn tiān shì wǒ de shēng rì!	You're very happy today, why? | Because today is my birthday!	أَنْتَ سَعِيدٌ جِدًّا الْيَوْمَ، لِمَاذَا؟ | لِأَنَّ الْيَوْمَ عِيدُ مِيلَادِي!	Anta saʿīdun jiddan al-yawm, limādhā? | Liʾanna al-yawma ʿīdu mīlādī!	draft		
h2x006	我们明天一起玩，好吗？｜好，太好了！	Wǒ men míng tiān yì qǐ wán, hǎo ma? | Hǎo, tài hǎo le!	Let's play together tomorrow, okay? | Great, sounds good!	هَلْ نَلْعَبُ مَعًا غَدًا؟ | حَسَنًا، رَائِعٌ جِدًّا!	Hal nalʿabu maʿan ghadan? | Ḥasanan, rāʾiʿun jiddan!	draft		
h2x008	早上好！｜早上好！你几点起床的？｜我七点起床。	Zǎo shang hǎo! | Zǎo shang hǎo! Nǐ jǐ diǎn qǐ chuáng de? | Wǒ qī diǎn qǐ chuáng.	Good morning! | Good morning! What time did you get up? | I got up at seven.	صَبَاحَ الْخَيْرِ! | صَبَاحَ الْخَيْرِ! فِي أَيِّ سَاعَةٍ اسْتَيْقَظْتَ؟ | اسْتَيْقَظْتُ فِي السَّاعَةِ السَّابِعَةِ.	Ṣabāḥa al-khayr! | Ṣabāḥa al-khayr! Fī ayyi sāʿatin istayqaẓt? | Istayqaẓtu fī as-sāʿati as-sābiʿa.	draft		
h2x009	你好，你今天要去哪儿？｜我要去学校，你呢？｜我要去商店。	Nǐ hǎo, nǐ jīn tiān yào qù nǎr? | Wǒ yào qù xué xiào, nǐ ne? | Wǒ yào qù shāng diàn.	Hello, where are you going today? | I'm going to school, and you? | I'm going to the store.	مَرْحَبًا، إِلَى أَيْنَ تَذْهَبُ الْيَوْمَ؟ | سَأَذْهَبُ إِلَى الْمَدْرَسَةِ، وَأَنْتَ؟ | سَأَذْهَبُ إِلَى الْمَتْجَرِ.	Marḥaban, ilā ayna tadhhabu al-yawm? | Saʾadhhabu ilā al-madrasa, waʾant? | Saʾadhhabu ilā al-matjar.	draft		
h2x010	你好！你今天想做什么？｜我想去游泳，你呢？｜我想休息。	Nǐ hǎo! Nǐ jīn tiān xiǎng zuò shén me? | Wǒ xiǎng qù yóu yǒng, nǐ ne? | Wǒ xiǎng xiū xi.	Hello! What do you want to do today? | I want to go swimming, and you? | I want to rest.	مَرْحَبًا! مَاذَا تُرِيدُ أَنْ تَفْعَلَ الْيَوْمَ؟ | أُرِيدُ أَنْ أَسْبَحَ، وَأَنْتَ؟ | أُرِيدُ أَنْ أَسْتَرِيحَ.	Marḥaban! Mādhā turīdu an tafʿala al-yawm? | Urīdu an asbaḥ, waʾant? | Urīdu an astarīḥ.	draft		
h2x011	你想吃什么？｜我想吃面条，你呢？｜我想吃鸡蛋。	Nǐ xiǎng chī shén me? | Wǒ xiǎng chī miàn tiáo, nǐ ne? | Wǒ xiǎng chī jī dàn.	What do you want to eat? | I want to eat noodles, and you? | I want to eat eggs.	مَاذَا تُرِيدُ أَنْ تَأْكُلَ؟ | أُرِيدُ أَنْ آكُلَ مَعْكَرُونَةً، وَأَنْتَ؟ | أُرِيدُ أَنْ آكُلَ بَيْضًا.	Mādhā turīdu an taʾkul? | Urīdu an ākula maʿkarūna, waʾant? | Urīdu an ākula bayḍan.	draft		
