id	script	reading	english	gloss	gloss_reading	status	checks	note
h3w001	阿姨	ā yí	aunt	خَالَةٌ	Khāla	verified	claude-blind,claude-review	
h3w002	啊	a	(particle of surprise or emphasis)	(أَدَاةُ التَّعَجُّبِ)	(adātu at-taʿajjub)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (past-tense citation form, or wording only)
h3w003	矮	ǎi	short (of height)	قَصِيرٌ	Qaṣīr	verified	claude-blind,claude-review	
h3w004	爱好	ài hào	hobby	هِوَايَةٌ	Hiwāya	verified	claude-blind,claude-review	
h3w005	安静	ān jìng	quiet	هَادِئٌ	Hādiʾ	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (past-tense citation form, or wording only)
h3w006	把	bǎ	(marks the object before the verb)	(أَدَاةٌ تُحَدِّدُ الْمَفْعُولَ بِهِ)	(adātun tuḥaddidu al-mafʿūla bih)	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (past-tense citation form, or wording only)
h3w007	班	bān	class	صَفٌّ	Ṣaff	verified	claude-blind,claude-review	
h3w008	搬	bān	to move (something heavy)	نَقَلَ	Naqal	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (past-tense citation form, or wording only)
h3w009	半	bàn	half	نِصْفٌ	Niṣf	verified	claude-blind,claude-review	
h3w010	办法	bàn fǎ	way; method	طَرِيقَةٌ؛ وَسِيلَةٌ	Ṭarīqa; wasīla	verified	claude-blind,claude-review	
h3w011	办公室	bàn gōng shì	office	مَكْتَبٌ	Maktab	verified	claude-blind,claude-review	
h3w012	帮忙	bāng máng	to help	سَاعَدَ	Sāʿad	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same (past-tense citation form, or wording only)
h3w013	包	bāo	bag	حَقِيبَةٌ	Ḥaqība	verified	claude-blind,claude-review	
h3w014	饱	bǎo	full (after eating)	شَبْعَانُ	Shabʿān	verified	claude-blind,claude-review	
h3w015	北方	běi fāng	the north	الشَّمَالُ	Ash-shamāl	verified	claude-blind,claude-review	
h3w016	被	bèi	(passive marker) by	(أَدَاةُ الْمَبْنِيِّ لِلْمَجْهُولِ)؛ مِنْ قِبَلِ	(adātu al-mabniyyi li-l-majhūl); min qibal	verified	claude-blind,claude-review	
