# Gemini's reply for hsk2.es, chunk 01 — 75 entries.
#
# Paste the whole of hsk2.es.01.gemini.md into Gemini, then paste its
# reply below. Prose around the TSV block is ignored, so pasting the whole
# answer is fine — but the block must still begin with a line reading
# exactly:  id<tab>verdict<tab>fix_gloss<tab>note
#
# If it came back with spaces instead of tabs, paste it into a spreadsheet
# and copy it back out — that turns the columns into real tabs.

id	verdict	fix_gloss	note
h2p001	ok		
h2p002	ok		
h2p003	ok		
h2p004	ok		
h2p005	ok		
h2p006	ok		
h2p007	ok		
h2p008	ok		
h2p009	ok		
h2p010	ok		
h2p011	ok		
h2p012	ok		
h2p013	ok		
h2p014	ok		
h2p015	ok		
h2p016	ok		
h2p017	ok		
h2p018	ok		
h2p019	ok		
h2p020	ok		
h2p021	ok		
h2p022	ok		
h2p023	ok		
h2p024	ok		
h2p025	ok		
h2p026	ok		
h2p027	ok		
h2p028	ok		
h2p029	ok		
h2p030	ok		
h2p031	ok		
h2p032	ok		
h2p033	ok		
h2p034	ok		
h2p035	ok		
h2p036	ok		
h2p037	ok		
h2p038	ok		
h2p039	ok		
h2p040	ok		
h2p041	ok		
h2p042	ok		
h2p043	ok		
h2p044	ok		
h2p045	ok		
h2p046	ok		
h2p047	ok		
h2p048	ok		
h2p049	ok		
h2p050	ok		
h2p051	ok		
h2p052	ok		
h2p053	fix	Hoy estoy sumamente cansado.	"súper" es demasiado coloquial para 非常; usar un intensificador neutro
h2p054	ok		
h2p055	ok		
h2p056	ok		
h2p057	ok		
h2p058	ok		
h2p059	ok		
h2p060	fix	¡Estoy sumamente feliz!	"súper" es demasiado coloquial para 非常; usar un intensificador neutro
h2p061	ok		
h2p062	ok		
h2p063	ok		
h2p064	ok		
h2p065	ok		
h2p066	ok		
h2p067	ok		
h2p068	ok		
h2p069	ok		
h2p070	ok		
h2p071	ok		
h2p072	ok		
h2p073	ok		
h2p074	ok		
h2p075	ok		
