id	verdict	fix_gloss	note
h3w001	ok		
h3w002	ok		
h3w003	ok		
h3w004	ok		
h3w005	ok		
h3w006	ok		
h3w007	ok		
h3w008	ok		
h3w009	ok		
h3w010	ok		
h3w011	ok		
h3w012	ok		
h3w013	ok		
h3w014	ok		
h3w015	ok		
h3w016	ok		
h3w017	ok		
h3w018	ok		
h3w019	ok		
h3w020	ok		
h3w021	ok		
h3w022	ok		
h3w023	ok		
h3w024	ok		
h3w025	ok		
h3w026	ok		
h3w027	fix	حِينَئِذٍ فَقَطْ؛ لَيْسَ قَبْلَ ذٰلِكَ	second part was an incomplete phrase
h3w028	ok		
h3w029	ok		
h3w030	ok		
h3w031	ok		
h3w032	ok		
h3w033	ok		
h3w034	ok		
h3w035	ok		
h3w036	ok		
h3w037	ok		
h3w038	ok		
h3w039	ok		
h3w041	ok		
h3w042	ok		
h3w043	ok		
h3w044	ok		
h3w045	ok		
h3w046	ok		
h3w047	ok		
h3w048	ok		
h3w049	ok		
h3w050	ok		
h3w051	ok		
h3w052	ok		
h3w053	ok		
h3w054	ok		
h3w055	ok		
h3w056	ok		
h3w057	ok		
h3w058	ok		
h3w059	ok		
h3w060	ok		
h3w061	ok		
