id	verdict	fix_gloss	note
p243	ok		
p244	ok		
p245	ok		
p246	ok		
p247	ok		
p248	ok		
p249	ok		
p250	ok		
p251	ok		
p252	ok		
p253	ok		
p254	ok		
p255	ok		
p256	ok		
p257	ok		
p258	ok		
p259	ok		
p260	ok		
p261	ok		
p262	ok		
p263	ok		
p264	ok		
p265	ok		
p266	ok		
p267	ok		
p268	ok		
p269	ok		
p270	ok		
p271	ok		
p272	ok		
p273	ok		
p274	ok		
p275	ok		
p276	ok		
p277	ok		
p278	ok		
p279	ok		
p280	ok		
p281	ok		
p282	ok		
p283	ok		
p284	ok		
p285	ok		
p286	ok		
p287	ok		
p288	ok		
p289	ok		
p290	ok		
p291	ok		
p292	ok		
p293	ok		
p294	ok		
p295	ok		
p296	ok		
p297	ok		
p298	ok		
p299	ok		
p300	ok		
p301	ok		
p302	ok		
