id	verdict	fix_script	fix_reading	fix_english	note
h3p301	ok				
h3p302	ok				
h3p303	ok				
h3p304	drop				Odd: a hand feeling comfortable
h3p305	ok				
h3p306	fix	这棵树很高，我上不去。			measure word for tree is 棵
h3p307	ok				
h3p308	ok				
h3p309	ok				
h3p310	ok				
h3p311	ok				
h3p312	ok				
h3p313	ok				
h3p314	ok				
h3p315	ok				
h3p316	ok				
h3p317	ok				
h3p318	ok				
h3p319	ok				
h3p320	ok				
h3p321	ok				
h3p322	ok				
h3p323	ok				
h3p324	ok				
h3p325	fix	你喜欢体育吗？我们一起运动吧。		Do you like sports? Let us exercise together.	做体育 is not Chinese
h3p326	ok				
h3p327	ok				
h3p328	ok				
h3p329	fix	有一条小鱼在水里游。		There is a little fish swimming in the water.	游 alone needs a complement
h3p330	fix	你的同事对你好吗？		Are your colleagues good to you?	人好吗 unnatural
h3p331	ok				
h3p332	ok				
h3p333	ok				
h3p334	ok				
h3p335	ok				
h3p336	ok				
h3p337	ok				
h3p338	ok				
h3p339	ok				
h3p340	ok				
h3p341	ok				
h3p342	ok				
h3p343	ok				
h3p344	ok				
h3p345	ok				
h3p346	ok				
h3p347	drop				一万个谢谢 is a calque of ten thousand thanks
h3p348	ok				
h3p349	ok				
h3p350	ok				
h3p351	ok				
h3p352	ok				
h3p353	ok				
h3p354	ok				
h3p355	ok				
h3p356	ok				
h3p357	ok				
h3p358	ok				
h3p359	ok				
h3p360	ok				
